source_file,age,utterance,responder,response,start_time_minutes,response_time,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Braunwald/010720.xml,598.75,the xxx doggy gone do byebye,SIS,you think that er Swww is a is,2.753,34.000000000020236,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/010725.xml,603.75,I et,MOT,oh,9.882333333333333,568.99999999996,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011008.xml,678.25,what you do,FAT,she loves xxx,3.8479666666666663,533.9999999999918,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011019.xml,689.25,felled,MOT,you like to go to the beach,6.5001500000000005,487.99999999999955,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011020.xml,690.25,go my hurt eye,FAT,did it hurt your eyes,4.6298,0,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011027.xml,697.25,there my shoes,MOT,they're yours also,22.271116666666668,-35.000000000081855,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011103.xml,703.75,tiny when my baby come here,SIS,yes,10.939983333333334,-21.999999999934516,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011109.xml,709.75,on a Glock stairs,MOT,on Glock's stairs,17.67985,-34.99999999985448,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011126.xml,726.75,that broken,MOT,mhm hm,2.08995,-349.00000000000375,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020023.xml,753.5,he Mummy Mummy,MOT,that's right,0.3487666666666666,221.00000000000009,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020121.xml,782,I got I got milk in my eye,SIS,what's educated mean,1.2174166666666666,-2786.999999999992,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020128.xml,789,I had cold,MOT,do you,8.773883333333334,-12.000000000057298,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020200.xml,791.5,I've ate my dinner,FAT,good,5.001,502.00000000000955,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020212a.xml,803.5,that mean when Dee Jack went on trip on xxx on fire,MOT,when Deebee and Jack went on their trip to New_York,5.830066666666666,848.9999999999895,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020215.xml,806.5,I got choose Mickey_Mouse,MOT,mhm,3.68105,-46.999999999997044,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020224.xml,815.5,I got fork,SIS,Laura's,1.7021666666666666,-23.000000000010346,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020226.xml,817.5,I had no more pepper,MOT,okay,5.8885499999999995,-115.99999999998545,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020227.xml,818.5,why you left,MOT,what sweetie,12.103633333333333,24.00000000000091,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I had enough,MOT,it was a nice xxx breakfast,13.031633333333334,-487.00000000008004,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I had nough,MOT,you had enough too,13.069366666666667,1263.0000000000337,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I had,FAT,oh,13.116000000000001,-939.9999999999409,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,white cat was hurt Pwww,MOT,a white cat was hurting Pwww,0.4829,405.9999999999988,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,Dwww said I Daniel,MOT,oh Dwww said you were Daniel,6.233483333333334,-35.00000000002501,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,here my new sandals,MOT,that's your new sandal,11.455566666666666,-428.9999999999736,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,a pears,MOT,xxx,19.259166666666665,34.99999999985448,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,I heared it,MOT,you didn't,24.54785,-82.00000000010732,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where where my squirrel go,MOT,I don't know,26.700033333333334,0,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where my mouse go,MOT,I don't know,26.76505,1033.9999999998781,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,when I have chicken,MOT,when did you have chicken,29.724783333333335,57.999999999992724,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020313.xml,835,Swww did byebye,FAT,Swww went byebye with Dwww,9.427516666666666,-45.999999999935426,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,bird flewed at me,MOT,yes,2.6712833333333332,-12.000000000000455,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I got a Mickey_Mouse,FAT,xxx,4.16325,-1468.999999999994,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I not cry,SIS,now Mummy I just ate half a muffin,16.270066666666665,3497.9999999999336,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020405.xml,857.5,you frozed it,SIS,uhhuh,7.6915000000000004,523.0000000000246,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020406.xml,858.5,Daddy I got sore throat,FAT,no,7.55795,-1091.0000000000082,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020616.xml,929.5,I stopped to Swww a bump,FAT,Swww had a bump,1.8711833333333334,325.00000000000284,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020621.xml,934.5,ah animals and fishes,MOT,animals and fishes,3.45275,24.00000000000091,,
