source_file,age,utterance,overreg_past,overreg_plural,start_time_minutes,elan_coded
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020606.xml,919.5,he drinked it all,TRUE,FALSE,38.5225,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020620.xml,933.5,look what I just find in Grandma ma's cushion,FALSE,FALSE,16.934,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,the scrap book falled in the water,TRUE,FALSE,11.81675,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,the phone run runned on,TRUE,FALSE,25.86203333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,I drawed with him,TRUE,FALSE,29.15705,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,I drawed chalk only for kids,TRUE,FALSE,29.218,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020718.xml,962,I falled off o there,TRUE,FALSE,5.99705,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020718.xml,962,he waked up,TRUE,FALSE,26.07825,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020729.xml,973,right on his foots,FALSE,TRUE,16.44675,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020813.xml,987.5,like he know how to build my puzzles,FALSE,FALSE,15.00368333,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,he flied a big plane to his mommy and daddy,TRUE,FALSE,2.31335,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,but he he goed to his mommy and daddy way over there,TRUE,FALSE,15.61641667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,I fighted with her too,TRUE,FALSE,18.28383333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020923.xml,1028,I swinged it on my head,TRUE,FALSE,4.550633333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses don't drive in crayons car,FALSE,TRUE,16.10658333,TRUE
